app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:16:49,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:16:49,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:16:50,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:16:50,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:17:03,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:17:04,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:17:04,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:17:04,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:17:04,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:17:05,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:17:05,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:17:05,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:17:05,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:17:05,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:17:06,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:17:06,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:17:06,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:17:06,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:18:03,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:18:03,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:18:04,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:18:04,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:18:04,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:18:04,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:18:05,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:18:06,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:18:06,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:18:06,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:18:06,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:18:06,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:18:07,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:18:07,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:19:03,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:19:03,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:19:04,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:19:04,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:19:04,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:19:04,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:19:05,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:19:05,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:19:05,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:19:05,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:19:05,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:19:06,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:19:06,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:19:06,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:20:03,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:20:03,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:20:04,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:20:04,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:20:04,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:20:04,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:20:05,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:20:05,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:20:05,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:20:05,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:20:05,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:20:05,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:20:06,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:20:06,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:21:03,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:21:03,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:21:03,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:21:03,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:21:04,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:21:04,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:21:04,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:21:05,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:21:05,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:21:05,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:21:05,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:21:05,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:21:05,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:21:06,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:22:02,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:22:03,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:22:03,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:22:03,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:22:04,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:22:04,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:22:04,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:22:04,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:22:05,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:22:05,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:22:06,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:22:06,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:22:06,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:22:07,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:23:03,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:23:03,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:23:03,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:23:03,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:23:04,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:23:04,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:23:04,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:23:04,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:23:04,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:23:05,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:23:05,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:23:05,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:23:05,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:23:05,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:24:03,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:24:03,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:24:03,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:24:03,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:24:04,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:24:04,45M,1.1.4,"April 27, 2021","10,000+",NA,NA
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:24:04,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:24:04,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:24:05,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:24:05,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:24:05,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:24:05,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:24:05,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:24:05,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:25:02,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:25:03,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:25:03,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:25:03,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:25:03,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:25:04,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:25:04,45M,2.27.2,"April 13, 2021","10,000+",NA,NA
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:25:04,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:25:04,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:25:05,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:25:05,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:25:05,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:25:05,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:25:05,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:26:03,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:26:04,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:26:04,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:26:04,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:26:04,1.2M,1.0.2,"April 15, 2021","1,000+",NA,NA
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:26:05,45M,1.1.4,"April 27, 2021","10,000+",NA,NA
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:26:05,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:26:05,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:26:05,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:26:05,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:26:06,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:26:06,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:26:06,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:26:06,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:27:03,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:27:03,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:27:04,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:27:04,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:27:04,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:27:04,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:27:05,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:27:05,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:27:05,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:27:05,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:27:05,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:27:05,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:27:06,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:27:06,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:28:03,54M,1.12.0,"April 21, 2021","1,000+",NA,NA
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:28:03,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:28:03,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:28:04,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:28:04,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:28:04,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:28:04,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:28:05,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:28:05,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:28:05,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:28:05,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:28:05,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:28:06,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:28:06,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:29:03,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:29:03,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:29:03,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:29:03,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:29:04,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:29:04,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:29:04,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:29:04,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:29:05,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:29:05,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:29:05,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:29:05,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:29:05,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:29:05,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:30:03,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
